device_id,cpu,cpu_best,cpu_level,cpu_desc,ram,ram_best,ram_level,ram_desc,screen,screen_best,screen_level,screen_desc,res_ratio,res_ratio_best,res_ratio_level,res_ratio_desc,weight,weight_level,weight_best,weight_desc
1403244,2.5GHz,"",62.13,"",16GB（8GB×2）,"",75.3,极速运行,15.6英寸,"",70.33,15.6游戏、便捷,1920x1080,"",42.46,全高清屏,2.5Kg,8.89,"",""
1403723,2.1GHz,"",39.34,"",16GB（8GB×2）,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2880x1800,"",92.58,超高清屏,1.3Kg,88.18,"",""
1403747,2.1GHz,"",39.34,"",16GB,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,1920x1080,"",42.46,全高清屏,1.38Kg,83.14,"",""
1403749,2.1GHz,"",39.34,"",16GB,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,1920x1080,"",42.46,全高清屏,1.38Kg,83.14,"",""
1403750,1.7GHz,"",24.03,"",16GB,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,1920x1080,"",42.46,全高清屏,1.38Kg,83.14,"",""
1403757,2.1GHz,"",39.34,"",16GB,"",75.3,极速运行,15.6英寸,"",70.33,15.6游戏、便捷,1920x1080,"",42.46,全高清屏,1.79Kg,39.37,"",""
1403767,1.3GHz,"",10.86,"",16GB,"",75.3,极速运行,15.6英寸,"",70.33,15.6游戏、便捷,1920x1080,"",42.46,全高清屏,1.79Kg,39.37,"",""
1403769,2.1GHz,"",39.34,"",16GB（8GB×2）,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2560x1440,"",60.17,超高清屏,1.25Kg,91.04,"",""
1403776,1.7GHz,"",24.03,"",16GB（8GB×2）,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2560x1440,"",60.17,超高清屏,1.25Kg,91.04,"",""
1403780,1.7GHz,"",24.03,"",16GB（8GB×2）,"",75.3,极速运行,15.6英寸,"",70.33,15.6游戏、便捷,1920x1080,"",42.46,全高清屏,1.75Kg,42.79,"",""
1403788,1.7GHz,"",24.03,"",16GB（8GB×2）,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,1920x1080,"",42.46,全高清屏,1.468Kg,71.71,"",""
1403806,1.7GHz,"",24.03,"",16GB（8GB×2）,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2240x1400,"",51.5,全高清屏,1.54Kg,61.8,"",""
1404120,1.7GHz,"",24.03,"",16GB（8GB×2）,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2240x1400,"",51.5,全高清屏,1.54Kg,61.8,"",""
1404126,1.7GHz,"",24.03,"",16GB（8GB×2）,"",75.3,极速运行,16英寸,"",91.33,"",1920x1200,"",48.44,全高清屏,1.87Kg,32.06,"",""
1404226,2.8GHz,"",79.93,"",8GB（8GB×1）,"",12.1,游戏流畅,14英寸,"",39.64,14游戏、便捷,1920x1080,"",42.46,全高清屏,1.38Kg,83.14,"",""
1404739,1.7GHz,"",24.03,"",16GB（8GB×2）,"",75.3,极速运行,15.6英寸,"",70.33,15.6游戏、便捷,1920x1080,"",42.46,全高清屏,1.65Kg,51.18,"",""
1404832,2.7GHz,"",77.04,"",16GB,"",75.3,极速运行,16英寸,"",91.33,"",2560x1600,"",83.33,超高清屏,2.28Kg,17.6,"",""
1404845,1.7GHz,"",24.03,"",16GB（8GB×2）,"",75.3,极速运行,15.6英寸,"",70.33,15.6游戏、便捷,1920x1080,"",42.46,全高清屏,1.75Kg,42.79,"",""
1404888,2.5GHz,"",62.13,"",16GB,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2880x1800,"",92.58,超高清屏,1.3Kg,88.18,"",""
1404893,3.3GHz,"",91.81,"",16GB,"",75.3,极速运行,16英寸,"",91.33,"",2560x1600,"",83.33,超高清屏,1.93Kg,28.22,"",""
1404912,1.7GHz,"",24.03,"",16GB,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2240x1400,"",51.5,全高清屏,1.12Kg,94.99,"",""
1404918,2.1GHz,"",39.34,"",16GB,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2240x1400,"",51.5,全高清屏,1.12Kg,94.99,"",""
1405131,1.3GHz,"",10.86,"",16GB,"",75.3,极速运行,15.6英寸,"",70.33,15.6游戏、便捷,1920x1080,"",42.46,全高清屏,1.76Kg,41.9,"",""
1405265,2.5GHz,"",62.13,"",16GB,"",75.3,极速运行,,,,,1920x1080,"",42.46,全高清屏,2.3Kg,15.17,"",""
1405369,2.4GHz,"",52.34,"",16GB,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,1920x1080,"",42.46,全高清屏,1.5Kg,64.2,"",""
1405381,2.4GHz,"",52.34,"",16GB,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,1920x1080,"",42.46,全高清屏,1.5Kg,64.2,"",""
1405449,2.7GHz,"",77.04,"",16GB,"",75.3,极速运行,17.3英寸,"",98.89,"",1920x1080,"",42.46,全高清屏,2.8Kg,3.88,"",""
1405450,2.7GHz,"",77.04,"",16GB,"",75.3,极速运行,17.3英寸,"",98.89,"",1920x1080,"",42.46,全高清屏,2.8Kg,3.88,"",""
1405540,2.7GHz,"",77.04,"",16GB,"",75.3,极速运行,,,,,1920x1080,"",42.46,全高清屏,2.49Kg,9.84,"",""
1405541,2.7GHz,"",77.04,"",16GB,"",75.3,极速运行,,,,,1920x1080,"",42.46,全高清屏,2.49Kg,9.84,"",""
1406762,3GHz,"",83.53,"",8GB,"",12.1,游戏流畅,14英寸,"",39.64,14游戏、便捷,1920x1080,"",42.46,全高清屏,1.46Kg,71.75,"",""
1406780,2.5GHz,"",62.13,"",16GB,"",75.3,极速运行,,,,,1920x1080,"",42.46,全高清屏,2.49Kg,9.84,"",""
1406801,2.4GHz,"",52.34,"",16GB（8GB×2）,"",75.3,极速运行,15.6英寸,"",70.33,15.6游戏、便捷,1920x1080,"",42.46,全高清屏,1.7Kg,44.48,"",""
1406802,3GHz,"",83.53,"",32GB（16GB×2）,"",96.07,极速运行,16英寸,"",91.33,"",2560x1600,"",83.33,超高清屏,1.99Kg,26.17,"",""
1406805,2.4GHz,"",52.34,"",16GB,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,1920x1081,"",42.73,全高清屏,1.4Kg,76.4,"",""
1408180,2.4GHz,"",52.34,"",8GB,"",12.1,游戏流畅,15.6英寸,"",70.33,15.6游戏、便捷,1920x1080,"",42.46,全高清屏,1.56Kg,60.32,"",""
1408181,2.4GHz,"",52.34,"",16GB（8GB×2）,"",75.3,极速运行,15.6英寸,"",70.33,15.6游戏、便捷,1920x1080,"",42.46,全高清屏,1.56Kg,60.32,"",""
1408185,2.4GHz,"",52.34,"",16GB（8GB×2）,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,1920x1080,"",42.46,全高清屏,1.38Kg,83.14,"",""
1408192,2.5GHz,"",62.13,"",16GB（8GB×2）,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2160x1440,"",60.17,超高清屏,1.54Kg,61.8,"",""
1408193,2.5GHz,"",62.13,"",16GB（8GB×2）,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2160x1440,"",60.17,超高清屏,1.54Kg,61.8,"",""
1408194,2.5GHz,"",62.13,"",16GB（8GB×2）,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2160x1440,"",60.17,超高清屏,1.54Kg,61.8,"",""
1408195,2.3GHz,"",46.77,"",16GB（8GB×2）,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2160x1440,"",60.17,超高清屏,1.54Kg,61.8,"",""
1408355,2.7GHz,"",77.04,"",16GB（8GB×2）,"",75.3,极速运行,16英寸,"",91.33,"",2560x1600,"",83.33,超高清屏,1.92Kg,28.54,"",""
1408686,2.5GHz,"",62.13,"",16GB（8GB×2）,"",75.3,极速运行,17.3英寸,"",98.89,"",2560x1440,"",60.17,超高清屏,,,,
1408784,2.5GHz,"",62.13,"",16GB（8GB×2）,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,1920x1080,"",42.46,全高清屏,1.4Kg,76.4,"",""
1408785,2.7GHz,"",77.04,"",16GB（8GB×2）,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,1920x1080,"",42.46,全高清屏,1.4Kg,76.4,"",""
1408819,2.5GHz,"",62.13,"",16GB（8GB×2）,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2240x1400,"",51.5,全高清屏,1.47Kg,70.37,"",""
1408839,1.7GHz,"",24.03,"",16GB,"",75.3,极速运行,15.6英寸,"",70.33,15.6游戏、便捷,1920x1080,"",42.46,全高清屏,2.1Kg,21.8,"",""
1408856,1.7GHz,"",24.03,"",16GB,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2240x1400,"",51.5,全高清屏,1.4Kg,76.4,"",""
1408857,1.7GHz,"",24.03,"",16GB,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2240x1400,"",51.5,全高清屏,1.4Kg,76.4,"",""
1408858,2.1GHz,"",39.34,"",16GB,"",75.3,极速运行,14英寸,"",39.64,14游戏、便捷,2240x1400,"",51.5,全高清屏,1.4Kg,76.4,"",""
1408907,2.5GHz,"",62.13,"",16GB,"",75.3,极速运行,15.6英寸,"",70.33,15.6游戏、便捷,1920x1080,"",42.46,全高清屏,2.672Kg,5.29,"",""
