id,pro_id,device_type,cn_name,name,en_name,is_famous,pro_num,wap_sequence,subcate_id,wx_cnt,star_user_id,all_pro_num,sale_level,logo,av_num,article_num,pic_file_type,pro_price_num,review_num,bms_sale_level,sequence,trademark_pic,first_word
1396,34660,phone,AGM,AGM,AGM,,47,4140,57,,,59,1,AGM666.jpg,9,8,jpg,47,3382,2,4140,1102351,A
1397,56290,phone,遨游,AORO（遨游）,AORO,,33,4020,57,,,34,1,未标题-2.jpg,,3,jpg,33,34,,4020,1107457, 
1398,750,phone,格力,GREE（格力）,GREE,1,2,3900,57,,,6,1,index-nemu_r2_c2.jpg,,,jpg,2,6,,3900,85409,G
1399,56216,phone,Librem,Librem,Librem,,1,3580,57,,,1,1,160.jpg,,5,jpg,1,,,3580,1107390,L
1400,355,phone,波导,Bird（波导）,Bird,,10,3860,57,199,,20,1,25.jpg,,1,jpg,10,9,,3860,288,B
1401,57944,phone,360OS奇少年,360OS奇少年（qiteens）,360OS奇少年,,2,3820,57,,,2,1,ChMkKmGxZBKIPzaFAAAlvYVk5d8AAWaFQJcTNsAACXV434.jpg,,1,jpg,2,,,3820,1108792,3
1402,58554,phone,WIKO,WIKO,WIKO,,10,4540,57,,,10,1,未标题-1.jpg,2,6,jpg,10,,,4540,1109434,W
1403,56254,phone,蔚来,蔚来,,,1,4100,57,,,1,1,蔚来.jpg,,10,jpg,1,,,4100,1107431,W
1404,159,phone,飞利浦,Philips（飞利浦）,Philips,1,63,4360,57,406,csqn80809@star,334,3,Philips.jpg,,21,jpg,63,10874,2,4360,125,F
1405,599,phone,康佳,Konka（康佳）,Konka,1,4,3560,57,208,konka666,333,1,1.jpg,,,jpg,4,4,,3560,469,K
1406,34023,phone,酷比,koobee（酷比）,koobee,,3,3640,57,427,,114,1,酷比品牌LOGO.jpg,,,jpg,3,459,2,3640,858766,K
1407,32729,phone,天语,天语,,1,56,4620,57,637,,537,1,2.jpg,,51,jpg,56,7976,,4620,223717,T
1408,34906,phone,邦华,BOWAY（邦华）,BOWAY,,5,3360,57,,,92,1,1.jpg,,,jpg,5,1,2,3360,1096319,B
1409,33855,phone,朵唯,朵唯,,,29,4340,57,188,lingshu_tx,127,3,朵唯 品牌LOGO.jpg,,13,jpg,29,65,2,4340,828457,D
1410,98,phone,三星,Samsung（三星）,Samsung,1,113,8240,57,3694,xinjingyingtongxun@s,1884,3,1.jpg,442,1670,jpg,113,44694,2,8240,157,S
1411,36792,phone,索野,SOYES（索野）,SOYES,,5,3620,57,,,8,3,logo.jpg,,,jpg,5,129,,3620,1102907,S
1412,19,phone,海信,Hisense（海信）,Hisense,1,19,4180,57,911,,226,1,1.jpg,11,,jpg,19,10947,2,4180,85394,H
1413,41148,phone,大松,大松（TOSOT）,TOSOT,,1,3680,57,,,1,1,160.jpg,,,jpg,1,1,,3680,1106006,D
1414,33080,phone,HTC,HTC,HTC,1,3,3980,57,292,jinhuitongxun@star,401,1,1.jpg,,,jpg,3,79,2,3980,557349,H
1415,55893,phone,多亲,多亲,,,10,4500,57,,,11,1,小多亲.jpg,3,35,jpg,10,1817,,4500,1107182,D
1416,364,phone,微软,Microsoft（微软）,Microsoft,1,1,3780,57,,,28,1,micro.jpg,,,jpg,1,3,,3780,297,W
1417,35228,phone,21克,21克,21克,,4,3440,57,,hugoogle,11,1,21KE-logo.jpg,,,jpg,4,38,,3440,1100369,2
1418,1589,phone,长虹,Changhong（长虹）,Changhong,1,10,3740,57,38,,48,1,6umHdD2-330-04.jpg,,,jpg,10,2,,3740,135948,C
1419,55535,phone,真我,realme（真我）,realme,,158,4800,57,,,215,3,6f50c1ddfe46424b96fa789af5491bea - 副本.jpg,254,1579,jpg,158,75527,,8197,1106982,Z
