device_id,cpu,cpu_best,cpu_level,cpu_desc,front_pix,front_pix_best,front_pix_level,front_pix_desc,back_pix,back_pix_level,back_pix_desc,back_pix_best,ram,ram_best,ram_level,ram_desc,battery,battery_best,battery_level,battery_desc,screen,screen_best,screen_level,screen_desc,res_ratio,res_ratio_best,res_ratio_level,res_ratio_desc
1211455,高通 骁龙660,骁龙8 Gen3,0,"",1200万像素,8000万,14.46,高清级像素,,,,,4GB/6GB,24G,13.4,游戏运行良好,3000mAh,"",3.26,小电池,5.8英寸,8.3英寸,4.71,可单手打字,2960x1440像素,3840*2160,89.34,2K超清
1212955,高通 骁龙638,骁龙8 Gen3,0,"",,,,,,,,,,,,,,,,,,,,,,,,
1213133,联发科 MT6739,骁龙8 Gen3,0,"",1300万像素,8000万,24.84,高清级像素,500万像素,5.19,普通级像素,6000万,2GB,24G,1.74,游戏运行良好,3020mAh,"",3.45,小电池,5.45英寸,8.3英寸,2.76,可单手打字,1440x720像素,3840*2160,2.48,720P普清
1213786,,,,,1300万像素,8000万,24.84,高清级像素,800万像素,24.58,普通级像素,6000万,2GB,24G,1.74,游戏运行良好,,,,,,,,,,,,
1213788,高通 骁龙,骁龙8 Gen3,0,"",,,,,,,,,,,,,,,,,,,,,,,,
1213795,高通 骁龙,骁龙8 Gen3,0,"",,,,,,,,,,,,,,,,,,,,,,,,
1213812,高通 骁龙,骁龙8 Gen3,0,"",,,,,,,,,,,,,,,,,,,,,,,,
1213813,高通 骁龙,骁龙8 Gen3,0,"",,,,,,,,,,,,,,,,,,,,,,,,
1214195,高通 骁龙625,骁龙8 Gen3,0,"",,,,,,,,,3GB,24G,4.79,游戏运行良好,,,,,,,,,,,,
1214344,高通 骁龙,骁龙8 Gen3,0,"",1300万像素,8000万,24.84,高清级像素,800万像素,24.58,普通级像素,6000万,4GB,24G,13.4,游戏运行良好,,,,,6.2英寸,8.3英寸,12.73,需双手打字,1520x720像素,3840*2160,3.95,720P普清
1214501,高通 骁龙660,骁龙8 Gen3,0,"",1200万像素,8000万,14.46,高清级像素,1200万像素,31.52,高清级像素,6000万,4GB,24G,13.4,游戏运行良好,3100mAh,"",4.47,小电池,6.01英寸,8.3英寸,7.92,需双手打字,2160x1080像素,3840*2160,15.27,1080P高清
1215879,高通 骁龙425（MSM8917）,骁龙8 Gen3,0,"",1300万像素,8000万,24.84,高清级像素,800万像素,24.58,普通级像素,6000万,2GB,24G,1.74,游戏运行良好,3070mAh,"",3.6,小电池,5.45英寸,8.3英寸,2.76,可单手打字,1440x720像素,3840*2160,2.48,720P普清
1216869,高通 骁龙638,骁龙8 Gen3,0,"",1600万像素,8000万,32.51,高清级像素,1200万像素,31.52,高清级像素,6000万,4GB,24G,13.4,游戏运行良好,5000mAh,"",87.08,大电池,,,,,,,,
1217848,高通 骁龙660,骁龙8 Gen3,0,"",1200万像素,8000万,14.46,高清级像素,1200万像素,31.52,高清级像素,6000万,6GB,24G,27.94,游戏运行良好,3100mAh,"",4.47,小电池,6.01英寸,8.3英寸,7.92,需双手打字,2160x1080像素,3840*2160,15.27,1080P高清
1221255,高通 骁龙710,骁龙8 Gen3,0,"",,,,,,,,,,,,,5400mAh,"",91.74,大电池,7英寸,8.3英寸,95.89,需双手打字,,,,
1221888,高通 骁龙845,骁龙8 Gen3,0,"",1600万像素,8000万,32.51,高清级像素,2000万像素,78.11,高清级像素,6000万,8GB,24G,65.04,游戏运行良好,4500mAh,"",48.05,大电池,5.5英寸,8.3英寸,3.32,可单手打字,2880x1440像素,3840*2160,89.22,2K超清
1221937,高通 骁龙845,骁龙8 Gen3,0,"",1200万像素,8000万,14.46,高清级像素,2000万像素,78.11,高清级像素,6000万,4GB,24G,13.4,游戏运行良好,3400mAh,"",6.82,大电池,6.21英寸,8.3英寸,13.03,需双手打字,2248x1080像素,3840*2160,16.16,1080P高清
1222104,高通 骁龙845,骁龙8 Gen3,0,"",,,,,,,,,8GB,24G,65.04,游戏运行良好,,,,,,,,,,,,
1222132,高通 骁龙450,骁龙8 Gen3,0,"",1600万像素,8000万,32.51,高清级像素,2400万像素,80.18,高清级像素,6000万,4GB,24G,13.4,游戏运行良好,,,,,5.99英寸,8.3英寸,6.39,可单手打字,1440x720像素,3840*2160,2.48,720P普清
1222360,高通 骁龙845,骁龙8 Gen3,0,"",1200万像素,8000万,14.46,高清级像素,800万像素,24.58,普通级像素,6000万,6GB,24G,27.94,游戏运行良好,3070mAh,"",3.6,小电池,4.2英寸,8.3英寸,0.82,可单手打字,1920x1080像素,3840*2160,13.68,1080P高清
1223167,高通 骁龙845,骁龙8 Gen3,0,"",1600万像素,8000万,32.51,高清级像素,,,,,6GB/8GB,24G,27.94,游戏运行良好,3860mAh,"",10.19,大电池,,,,,,,,
1224463,,,,,1900万像素,8000万,32.87,高清级像素,1300万像素,37.96,高清级像素,6000万,6GB/8GB,24G,27.94,游戏运行良好,4500mAh,"",48.05,大电池,6.2英寸,8.3英寸,12.73,需双手打字,3840x2160像素,3840*2160,100,4K超高清
1224911,联发科 Helio P60（MT6771）,骁龙8 Gen3,0,"",,,,,,,,,,,,,,,,,,,,,,,,
1225416,高通 骁龙855,骁龙8 Gen3,0,"",1200万像素,8000万,14.46,高清级像素,1000万像素,26.27,普通级像素,6000万,12GB,24G,89.35,游戏运行良好,4380mAh,"",30.62,大电池,7.3英寸,8.3英寸,96.49,需双手打字,2152x1536像素,3840*2160,77.67,2K超清
1227183,苹果 A12,骁龙8 Gen3,0,"",1900万像素,8000万,32.87,高清级像素,1200万像素,31.52,高清级像素,6000万,4GB,24G,13.4,游戏运行良好,,,,,6.5英寸,8.3英寸,30.13,需双手打字,2560x1440像素,3840*2160,86.47,2K超清
1227266,高通 骁龙710,骁龙8 Gen3,0,"",1200万像素,8000万,14.46,高清级像素,2000万像素,78.11,高清级像素,6000万,,,,,3400mAh,"",6.82,大电池,6.21英寸,8.3英寸,13.03,需双手打字,2248x1080像素,3840*2160,16.16,1080P高清
1227486,高通 骁龙710,骁龙8 Gen3,0,"",,,,,,,,,8GB,24G,65.04,游戏运行良好,5400mAh,"",91.74,大电池,7英寸,8.3英寸,95.89,需双手打字,2880x1440px,3840*2160,89.22,2K超清
