2024-01-31 00:07:19.126 [main] INFO  c.c.ClimbApplication - [logStarting,55] - Starting ClimbApplication on chenhw with PID 17504 (E:\document\ideaProject\data-climb\target\classes started by chw in E:\document\ideaProject\data-climb)
2024-01-31 00:07:19.132 [main] INFO  c.c.ClimbApplication - [logStartupProfileInfo,651] - No active profile set, falling back to default profiles: default
2024-01-31 00:07:19.808 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8088"]
2024-01-31 00:07:19.808 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
2024-01-31 00:07:19.808 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.41]
2024-01-31 00:07:19.854 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
2024-01-31 00:07:21.061 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8088"]
2024-01-31 00:07:21.079 [main] INFO  c.c.ClimbApplication - [logStarted,61] - Started ClimbApplication in 2.282 seconds (JVM running for 3.831)
2024-01-31 00:07:27.657 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.658 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.659 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.659 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.660 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.660 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.661 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.661 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.661 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.662 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.662 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.662 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.662 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.663 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.663 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.663 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.664 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.664 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.664 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.664 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.664 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.664 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.664 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.664 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.665 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.665 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.666 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.666 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.666 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.666 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.666 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.667 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.667 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.667 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.667 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.667 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.667 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.668 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.668 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.668 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.668 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.668 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.669 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.669 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.669 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.669 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.669 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.669 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.669 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.670 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,66] - 当前li没有数据，跳过
2024-01-31 00:07:27.670 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=1, num=03, color=ball-blue, sx=虎/水)
2024-01-31 00:07:27.670 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=1, num=13, color=ball-red, sx=龙/火)
2024-01-31 00:07:27.670 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=1, num=14, color=ball-blue, sx=兔/金)
2024-01-31 00:07:27.671 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=1, num=16, color=ball-green, sx=牛/土)
2024-01-31 00:07:27.671 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=1, num=22, color=ball-green, sx=羊/金)
2024-01-31 00:07:27.671 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=1, num=28, color=ball-green, sx=牛/火)
2024-01-31 00:07:27.671 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=1, num=34, color=ball-red, sx=羊/木)
2024-01-31 00:07:27.671 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,142] - ---------------------
2024-01-31 00:07:27.671 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=2, num=01, color=ball-red, sx=龙/土)
2024-01-31 00:07:27.671 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=2, num=08, color=ball-red, sx=鸡/土)
2024-01-31 00:07:27.671 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=2, num=15, color=ball-blue, sx=虎/金)
2024-01-31 00:07:27.671 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=2, num=22, color=ball-green, sx=羊/金)
2024-01-31 00:07:27.671 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=2, num=31, color=ball-blue, sx=狗/土)
2024-01-31 00:07:27.671 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=2, num=36, color=ball-blue, sx=蛇/金)
2024-01-31 00:07:27.671 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=2, num=26, color=ball-blue, sx=兔/木)
2024-01-31 00:07:27.671 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,142] - ---------------------
2024-01-31 00:07:27.671 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=3, num=04, color=ball-blue, sx=牛/木)
2024-01-31 00:07:27.671 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=3, num=13, color=ball-red, sx=龙/火)
2024-01-31 00:07:27.672 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=3, num=32, color=ball-green, sx=鸡/水)
2024-01-31 00:07:27.672 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=3, num=34, color=ball-red, sx=羊/木)
2024-01-31 00:07:27.672 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=3, num=35, color=ball-red, sx=马/木)
2024-01-31 00:07:27.672 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=3, num=36, color=ball-blue, sx=蛇/金)
2024-01-31 00:07:27.672 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=3, num=21, color=ball-green, sx=猴/火)
2024-01-31 00:07:27.672 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,142] - ---------------------
2024-01-31 00:07:27.672 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=4, num=04, color=ball-blue, sx=牛/木)
2024-01-31 00:07:27.672 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=4, num=19, color=ball-red, sx=狗/木)
2024-01-31 00:07:27.672 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=4, num=21, color=ball-green, sx=猴/火)
2024-01-31 00:07:27.672 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=4, num=23, color=ball-red, sx=马/金)
2024-01-31 00:07:27.672 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=4, num=24, color=ball-red, sx=蛇/水)
2024-01-31 00:07:27.672 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=4, num=29, color=ball-red, sx=鼠/火)
2024-01-31 00:07:27.672 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=4, num=12, color=ball-red, sx=蛇/火)
2024-01-31 00:07:27.672 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,142] - ---------------------
2024-01-31 00:07:27.672 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=5, num=06, color=ball-green, sx=猪/金)
2024-01-31 00:07:27.672 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=5, num=08, color=ball-red, sx=鸡/土)
2024-01-31 00:07:27.672 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=5, num=09, color=ball-blue, sx=猴/土)
2024-01-31 00:07:27.672 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=5, num=16, color=ball-green, sx=牛/土)
2024-01-31 00:07:27.672 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=5, num=17, color=ball-green, sx=鼠/土)
2024-01-31 00:07:27.672 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=5, num=34, color=ball-red, sx=羊/木)
2024-01-31 00:07:27.672 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=5, num=24, color=ball-red, sx=蛇/水)
2024-01-31 00:07:27.672 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,142] - ---------------------
2024-01-31 00:07:27.672 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=6, num=06, color=ball-green, sx=猪/金)
2024-01-31 00:07:27.672 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=6, num=15, color=ball-blue, sx=虎/金)
2024-01-31 00:07:27.672 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=6, num=17, color=ball-green, sx=鼠/土)
2024-01-31 00:07:27.672 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=6, num=22, color=ball-green, sx=羊/金)
2024-01-31 00:07:27.672 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=6, num=26, color=ball-blue, sx=兔/木)
2024-01-31 00:07:27.673 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=6, num=34, color=ball-red, sx=羊/木)
2024-01-31 00:07:27.673 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=6, num=23, color=ball-red, sx=马/金)
2024-01-31 00:07:27.673 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,142] - ---------------------
2024-01-31 00:07:27.673 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=7, num=02, color=ball-red, sx=兔/水)
